"x"
"1"	0.388
"2"	0.866
"3"	0.975
"4"	0.181
"5"	0.279
"6"	0.765
"7"	0.709
"8"	0.119
"9"	0.275
"10"	0.064
"11"	0.901
"12"	0.384
"13"	0.579
"14"	0.397
"15"	0.666
"16"	0.941
"17"	0.832
"18"	0.905
"19"	0.458
"20"	0.192
"21"	0.63
"22"	0.962
"23"	0.997
"24"	0.217
"25"	0.314
"26"	0.366
"27"	0.296
"28"	0.992
"29"	0.725
"30"	0.089
"31"	0.848
"32"	0.631
"33"	0.387
"34"	0.833
"35"	0.783
"36"	0.85
"37"	0.407
"38"	0.361
"39"	0.705
"40"	0.088
"41"	0.48
"42"	0.943
"43"	0.908
"44"	0.797
"45"	0.615
"46"	0.116
"47"	0.073
"48"	0.839
"49"	0.307
"50"	0.839
"51"	0.766
"52"	0.632
"53"	0.71
"54"	0.032
"55"	0.096
"56"	0.761
"57"	0.73
"58"	0.751
"59"	0.194
"60"	0.468
"61"	0.753
"62"	0.635
"63"	0.73
"64"	0.208
"65"	0.469
"66"	0.151
"67"	0.329
"68"	0.506
"69"	0.003
"70"	0.958
"71"	0.777
"72"	0.16
"73"	0.718
"74"	0.961
"75"	0.178
"76"	0.386
"77"	0.65
"78"	0.909
"79"	0.093
"80"	0.978
"81"	0.505
"82"	0.899
"83"	0.166
"84"	0.173
"85"	0.543
"86"	0.954
"87"	0.028
"88"	0.316
"89"	0.131
"90"	0.189
"91"	0.218
"92"	0.181
"93"	0.383
"94"	0.489
"95"	0.363
"96"	0.727
"97"	0.675
"98"	0.521
"99"	0.202
"100"	0.269
"101"	0.823
"102"	0.41
"103"	0.535
"104"	0.851
"105"	0.311
"106"	0.873
"107"	0.207
"108"	0.276
"109"	0.335
"110"	0.222
"111"	0.153
"112"	0.485
"113"	0.864
"114"	0.406
"115"	0.256
"116"	0.773
"117"	0.09
"118"	0.593
"119"	0.562
"120"	0.863
"121"	0.444
"122"	0.782
"123"	0.14
"124"	0.316
"125"	0.556
"126"	0.686
"127"	0.045
"128"	0.573
"129"	0.442
"130"	0.466
"131"	0.729
"132"	0.726
"133"	0.932
"134"	0.427
"135"	0.359
"136"	0.062
"137"	0.081
"138"	0.624
"139"	0.303
"140"	0.161
"141"	0.795
"142"	0.9
"143"	0.518
"144"	0.732
"145"	0.387
"146"	0.298
"147"	0.927
"148"	0.193
