"V1"	"V2"
"199"	-0.540626	-0.429925
"200"	-0.351161	0.328593
"201"	-0.0735651	-0.345524
"202"	-0.0291479	-0.275358
"203"	-0.186609	0.46094
"204"	-0.298529	-0.376434
"205"	-0.463127	-0.141676
"206"	-0.362088	-0.33394
"207"	-0.447891	-0.203947
"208"	-0.159328	0.00224911
"209"	-0.490623	0.0573559
"210"	-0.324151	-0.197639
"211"	-0.488708	-0.322655
"212"	-0.515242	-0.277209
"213"	-0.346897	-0.193656
"214"	-0.273745	-0.332904
"215"	-0.457471	-0.0797389
"216"	-0.517988	-0.46751
"217"	-0.439638	-0.124596
"218"	-0.342715	-0.191463
"219"	0.0068588	-0.401505
"220"	0.00326439	0.0577767
"221"	-0.621742	-0.315237
"222"	-0.156153	-0.276227
"223"	-0.146907	-0.199489
"224"	-0.31733	-0.24767
"225"	-0.0600885	-0.329384
"226"	-0.262887	-0.0435393
"227"	-0.200054	0.0898265
"228"	-0.346686	-0.36141
"229"	-0.257589	-0.0238362
"230"	-0.14097	-0.268109
"231"	-0.0451654	-0.309451
"232"	-0.200307	-0.372712
"233"	-0.299834	0.20098
"234"	-0.386045	0.158109
"235"	-0.0264827	0.265911
"236"	-0.108452	-0.216061
"237"	-0.495585	-0.321294
"238"	-0.322062	-0.498177
"239"	-0.386655	-0.17566
"240"	-0.500907	0.0134155
"241"	-0.202913	-0.14732
"242"	-0.228958	-0.234184
"243"	-0.321537	0.356344
"244"	0.167311	-0.450744
"245"	-0.060851	-0.100053
"246"	-0.369122	-0.0915751
"247"	-0.309139	-0.428726
"248"	-0.0871947	-0.185684
"249"	-0.441216	-0.132442
"250"	2.39446	-0.301066
"251"	-0.421477	0.256884
"252"	0.0200466	-0.214257
"253"	-0.400098	-0.405698
"254"	-0.362997	-0.474329
"255"	-0.299884	-0.28688
"256"	-0.259645	-0.869253
"257"	-0.0676589	-0.0200419
"258"	-0.00597352	-0.329485
"259"	0.0848328	-0.0640007
"260"	-0.0604714	-0.184808
"261"	-0.254288	-0.206378
"262"	-0.489822	-0.26123
"263"	-0.343639	-0.255444
"264"	-0.517765	-0.340207
"265"	-0.393598	-0.195454
"266"	-0.380205	-0.345229
"267"	-0.208746	-0.228819
"268"	-0.132592	-0.196086
"269"	-0.512272	-0.438339
"270"	-0.232456	-0.196096
"271"	-0.198238	0.0471685
"272"	-0.0601107	-0.0048351
"273"	-0.0584815	-0.402958
"274"	0.206982	-0.474191
"275"	-0.149659	0.118242
"276"	-0.165149	-0.327863
"277"	-0.0821757	-0.335817
"278"	-0.214621	-0.276937
"279"	-0.028915	-0.441079
"280"	-0.303056	-0.337079
"281"	-0.238887	-0.287582
"282"	-0.183547	-0.177962
"283"	-0.544867	-0.453248
"284"	-0.197354	-0.291802
"285"	-0.420839	0.0233891
"286"	-0.0467501	-0.0161022
"287"	-0.307442	-0.153813
"288"	-0.292951	-0.174422
"289"	-0.352823	-0.255056
"290"	0.0366181	0.225051
"291"	-0.214356	-0.192998
"292"	-0.18298	-0.452196
"293"	-0.425044	0.172701
"294"	-0.40099	-0.274271
"295"	-0.394027	-0.0733252
"296"	-0.649673	-0.179551
"297"	-0.202243	-0.110314
"298"	-0.447311	-0.52239
"299"	-0.141831	-0.375604
"300"	-0.222376	-0.124424
"301"	-0.149768	-0.372489
"302"	2.10047	0.673261
"303"	-0.52277	-0.527166
"304"	-0.282339	0.387168
"305"	-0.340851	-0.921753
"306"	-0.414827	-0.180273
"307"	-0.312565	-0.279447
"308"	-0.356786	0.247614
"309"	-0.236963	-0.524412
"310"	0.233522	-0.500627
"311"	0.0838045	-0.159127
"312"	-0.285607	-0.213678
"313"	-0.148089	-0.222422
"314"	-0.486362	-0.310634
"315"	-0.0506934	-0.4
"316"	-0.190226	-0.341604
"317"	-0.278259	-0.17933
"318"	-0.599865	-0.209741
"319"	-0.153812	-0.210285
"320"	-0.221957	-0.101231
"321"	-0.338717	-0.373405
"322"	0.0920168	-0.386348
"323"	-0.211954	-0.272952
"324"	-0.484786	-0.412363
"325"	-0.118584	-0.309002
